"";"string";"cluster";"distanceToCenter"
"304";"Wohnhäusern";25;10
"305";"Bankkunden";25;9
"306";"1832";81;0
"307";"Sotheby’s";25;8
"308";"Apsis";25;4
"309";"war.";25;3
"310";"Betriebseinrichtungen";29;16
"311";"Sprachuniversalien";25;17
"312";"Vielmehr";25;7
"313";"Treuhandgesetz";25;13
"314";"Dartmoor";25;7
"315";"2. Februar";86;0
"316";"scheitere";25;8
"317";"finde";25;4
"318";"Jede";25;3
"319";"Diskussionsprozess";25;17
"320";"http://clochers";25;14
"321";"Pfarrkirche";25;10
"322";"Energieeffizienz";25;15
"323";"Novemberpogrom";25;13
"324";"mehrdeutig";25;9
"325";"Dominikanerkirche";25;16
"326";"feuchte";92;5
"327";"klassieren";42;8
"328";"Gerichtsstätte";74;11
"329";"Maitenbeth";25;9
"330";"schwierigen";42;9
"331";"Tribe";25;4
"332";"deutsch-deutsche";25;15
"333";"Schmaus";25;6
"334";"Fasti Capitolini";25;15
"335";"Elmar Hillebrand";25;15
"336";"India";25;4
"337";"Schnellbahn";25;10
"338";"umgesetzt";25;8
"339";"Farbentiefdruck";4;13
"340";"Assoziation";25;10
"341";"LNVG";25;3
"342";"Maurienne";25;8
"343";"Erholungsgebiet";25;14
"344";"Carlton-Single";25;13
"345";"Szenerien";25;8
"346";"Aldershot";25;8
"347";"Sekundarschule";25;13
"348";"Elizabeth";25;8
"349";"Gesamtnetz";25;9
"350";"Synchronfassung";100;13
"351";"verhindern";25;9
"352";"erhebliche";47;0
"353";"Rechtsanwaltskanzlei";25;19
"354";"Glaubensfragen";4;12
"355";"Amseln";25;5
"356";"Fachbereich";25;10
"357";"C.";25;1
"358";"Nie";25;2
"359";"Florfliegen";25;10
"360";"Timavo";65;0
"361";"Bericht";74;4
"362";"McCollum";25;7
"363";"Komparsin";25;8
"364";"rot";25;2
"365";"Rüdesheim";25;8
"366";"Gesellschaftsredner";25;18
"367";"Kurland";25;6
"368";"362";25;2
"369";"gunnr";25;4
"370";"Verdienstkreuz mit Stern";25;23
"371";"Missionarinnen";25;13
"372";"Huchting";25;7
"373";"angefügt";8;0
"374";"gebildet";25;7
"375";"absolute";25;7
"376";"geweihter";25;8
"377";"Pestepidemien";25;12
"378";"mph";25;2
"379";"Branchenkonzepten";25;16
"380";"Einparteiensystem";25;16
"381";"die Spitze des Eisberges";25;23
"382";"lebenden";4;6
"383";"Weltcups";25;7
"384";"Feigen";44;0
"385";"Grat";25;3
"386";"Referenz";25;7
"387";"Martinique";33;0
"388";"Stromerzeugung";25;13
"389";"Katastralgemeinden";25;17
"390";"Maschinenwesen";25;13
"391";"DB Fernverkehr";25;13
"392";"Last";25;3
"393";"Publicité";25;8
"394";"Oates";60;0
"395";"Ansiedlungen";25;11
"396";"Sängerinnen";25;10
"397";"Ouattara";25;7
"398";"befreundeten";25;11
"399";"Oeuvre";25;5
"400";"Felskessel";25;9
"401";"ausgerechnet";25;11
