"";"x"
"873";"HERBSTEIN"
"874";"PRISDORF"
"875";"KLEINKAHL"
"876";"WILDENBERG"
"877";"BRIGACHTAL"
"878";"SAGARD"
"879";"BÜRSTADT"
"880";"KLUSSIEDLUNG"
"881";"SCHWEDENECK"
"882";"HAVIXBECK"
"883";"WÖHRDEN"
"884";"BÜRGSTADT"
"885";"GERMERSHEIM"
"886";"LÖCHGAU"
"887";"THURMANSBANG"
"888";"AISLINGEN"
"889";"DITTERSBACH"
"890";"MÜHLENBECK"
"891";"ESCHWEGE"
"892";"REINSDORF"
"893";"SODERSTORF"
"894";"BERUMBUR"
"895";"SCHIRGISWALDE"
"896";"BISINGEN"
"897";"PATERSDORF"
"898";"SCHLOTHEIM"
"899";"MANSFELD"
"900";"LENZEN"
"901";"AICHACH"
"902";"BARNSTÄDT"
"903";"STIMPFACH"
"904";"WERNSHAUSEN"
"905";"EDEWECHT"
"906";"HILDEN"
"907";"BEUTELSBACH"
"908";"BRAUNSCHWEIG"
"909";"PEISSEN"
"910";"PFRONSTETTEN"
"911";"ZINNA"
"912";"SCHWENNINGEN"
"913";"STELLE"
"914";"FRIELENDORF"
"915";"SAALOW"
"916";"VILLMAR"
"917";"GEBHARDSHAIN"
"918";"CRINITZ"
"919";"BEVERSTEDT"
"920";"MEMMINGEN"
"921";"DIERA"
"922";"BAD NENNDORF"
"923";"MESSEL"
"924";"BÖBRACH"
"925";"FÜRSTENSTEIN"
"926";"NEUSTADT AM MAIN"
"927";"SCHLAITDORF"
"928";"LUNDEN"
"929";"CRIMMITSCHAU"
"930";"OBERSEIFERSDORF"
"931";"WINDHAUSEN"
"932";"NEHREN"
"933";"REGEN"
"934";"HÖCHSTÄDT BEI THIERSHEIM"
"935";"OEREL"
"936";"LAGE"
"937";"NEUSTADT AN DER DONAU"
"938";"WITTLICH"
"939";"HASSEL"
"940";"FRIDOLFING"
"941";"LEINACH"
"942";"SALLGAST"
"943";"ANKUM"
"944";"HAINICHEN"
"945";"SACHSEN BEI ANSBACH"
"946";"SAARLOUIS"
"947";"WEISSENBRUNN"
"948";"HEMSLINGEN"
"949";"SAULHEIM"
"950";"LÜCHOW"
"951";"GRÄFENHAIN"
"952";"FREUDENBERG"
"953";"HUNDING"
"954";"WEISCHLITZ"
"955";"SPREENHAGEN"
"956";"RIELASINGEN-WORBLINGEN"
"957";"LANGENBERG"
"958";"HUDE (OLDENBURG)"
"959";"KÖNIGSTEIN"
"960";"SCHLADEN"
"961";"OELIXDORF"
"962";"RODING"
"963";"KRAKOW AM SEE"
"964";"KÖNIGSWINTER"
"965";"HÖRSTEL"
"966";"BREIDENBACH"
"967";"MALTERDINGEN"
"968";"BROMBACHTAL"
"969";"KISSING"
"970";"SULZBACH (TAUNUS)"
"971";"MUNZIG"
"972";"EIME"
"973";"HERZLAKE"
"974";"NESCHWITZ"
"975";"BEELEN"
"976";"AMTZELL"
"977";"EISINGEN"
"978";"BURGRIEDEN"
"979";"LADBERGEN"
"980";"DOBERSCHAU"
"981";"GROSSRINDERFELD"
