"";"x"
"1885";"STEINKIRCHEN"
"1886";"WULFERSTEDT"
"1887";"MASSWEILER"
"1888";"LEINZELL"
"1889";"BIELATAL"
"1890";"BARNSTORF"
"1891";"ZABERFELD"
"1892";"EDDELAK"
"1893";"ERLENBACH BEI MARKTHEIDENFELD"
"1894";"TROSSINGEN"
"1895";"TIRSCHENREUTH"
"1896";"OBERMICHELBACH"
"1897";"LINDERN (OLDENBURG)"
"1898";"LANGENBURG"
"1899";"SCHEER"
"1900";"BORNICH"
"1901";"WEWELSFLETH"
"1902";"BADENWEILER"
"1903";"WALLENFELS"
"1904";"LÜTZEN"
"1905";"MARKTHEIDENFELD"
"1906";"HAUSEN"
"1907";"RHUMSPRINGE"
"1908";"PFAFFENHOFEN AN DER GLONN"
"1909";"NERESHEIM"
"1910";"SCHWABSOIEN"
"1911";"WELLHEIM"
"1912";"WALCHUM"
"1913";"LAMPERTHEIM"
"1914";"GIMBSHEIM"
"1915";"ELBINGERODE"
"1916";"SPAHNHARRENSTÄTTE"
"1917";"SONNEFELD"
"1918";"SCHLEUSINGEN"
"1919";"LAUTERHOFEN"
"1920";"ANSBACH"
"1921";"ALTENFELD"
"1922";"ZIERENBERG"
"1923";"RIESTE"
"1924";"ESCHBACH"
"1925";"EISENHÜTTENSTADT"
"1926";"HAGENBACH"
"1927";"WIPPERDORF"
"1928";"RETHEM (ALLER)"
"1929";"GRÖNENBACH"
"1930";"SCHWEICH"
"1931";"MENSLAGE"
"1932";"DREBKAU"
"1933";"MECKENHEIM"
"1934";"HEIDENAU"
"1935";"BOOS"
"1936";"LEOPOLDSHÖHE"
"1937";"PRATAU"
"1938";"HUGLFING"
"1939";"KÜHBACH"
"1940";"MAGDEBURG"
"1941";"VÖHRENBACH"
"1942";"WACHENROTH"
"1943";"DONAUESCHINGEN"
"1944";"BREITSCHEID"
"1945";"PFEFFENHAUSEN"
"1946";"GLEICHEN"
"1947";"FRANZBURG"
"1948";"SÜDERSTAPEL"
"1949";"KRUMHERMERSDORF"
"1950";"TRAUNREUT"
"1951";"WEIDING"
"1952";"SCHLANGENBAD"
"1953";"REESSUM"
"1954";"FORST"
"1955";"ERTINGEN"
"1956";"BRUNNTHAL"
"1957";"EISENHEIM"
"1958";"USINGEN"
"1959";"LÖRZWEILER"
"1960";"WALLMODEN"
"1961";"FÜRFELD"
"1962";"ÜBACH-PALENBERG"
"1963";"HAGEN IM BREMISCHEN"
"1964";"OSTERCAPPELN"
"1965";"BOCHOLT"
"1966";"WIESENBACH"
"1967";"HIRSCHAID"
"1968";"KARLSTADT"
"1969";"SULZBERG"
"1970";"BAD TÖLZ"
"1971";"HÖFEN AN DER ENZ"
"1972";"BOBINGEN"
"1973";"AHLEN"
"1974";"RÖDERMARK"
"1975";"BÖBLINGEN"
"1976";"PONITZ"
"1977";"KETTIG"
"1978";"DEINSTE"
"1979";"SCHWAFÖRDEN"
"1980";"DEUTSCH EVERN"
"1981";"HAGELSTADT"
"1982";"LANGENBACH"
"1983";"TREBBIN"
"1984";"STEINIGTWOLMSDORF"
"1985";"KUCHEN"
"1986";"BEILRODE"
"1987";"GÜGLINGEN"
"1988";"KRAUCHENWIES"
"1989";"AUMÜHLE"
"1990";"ROSSBACH"
"1991";"LANGEN"
"1992";"GSCHWEND"
"1993";"TITTING"
"1994";"KLÜTZ"
"1995";"GLINDE"
"1996";"BAIERN"
"1997";"ENDORF IN OBERBAYERN"
"1998";"SCHLANGEN"
"1999";"WULFTEN"
"2000";"RIENECK"
