"";"string";"cluster";"distanceToCenter"
"233";"PLATTLING";4;0
"234";"WITTEN";117;0
"235";"ZEITLARN";38;8
"236";"EICHENZELL";149;8
"237";"QUEIDERSBACH";196;0
"238";"UTTING AM AMMERSEE";193;16
"239";"WISCHHAFEN";38;10
"240";"SCHWEBHEIM";185;9
"241";"HOMBURG";170;4
"242";"GÖDA";38;4
"243";"LOBSTÄDT";38;8
"244";"WIRDUM";38;6
"245";"DITFURT";181;4
"246";"MARKTOBERDORF";79;0
"247";"NÜDLINGEN";95;5
"248";"PÖSSNECK";38;8
"249";"URMITZ";38;6
"250";"SEEHEIM-JUGENHEIM";185;14
"251";"BÄRENSTEIN";120;8
"252";"EISENBERG (PFALZ)";76;13
"253";"TÖGING AM INN";38;13
"254";"DIETRAMSZELL";186;11
"255";"OSTERBURG";170;8
"256";"STEINBACH";32;8
"257";"GARTZ";161;4
"258";"NITTENAU";122;0
"259";"ELSDORF";22;0
"260";"GROSSSOLT";23;0
"261";"REINSFELD";60;8
"262";"PHILIPPSTHAL (WERRA)";25;20
"263";"NEUHAUS";38;7
"264";"STRULLENDORF";113;9
"265";"BAD BIBRA";38;9
"266";"GOLDBECK";169;6
"267";"ALTÖTTING";38;9
"268";"TRIERWEILER";19;9
"269";"RENCHEN";125;6
"270";"BREIHOLZ";38;8
"271";"EMSDETTEN";117;7
"272";"SEXAU";38;5
"273";"WERDAU";38;6
"274";"HASSFURT";181;5
"275";"BLAUBEUREN";125;9
"276";"EHRENBURG";125;8
"277";"GEHREN";125;5
"278";"ÜHLFELD";147;6
"279";"ESCHEBURG";47;7
"280";"BUTTSTÄDT";38;9
"281";"BANN";38;4
"282";"GORNAU";33;5
"283";"LENGERICH";123;7
"284";"HEMMINGEN";137;2
"285";"PLAIDT";38;6
"286";"SCHÖNBERG";63;7
"287";"STEINHAUSEN AN DER ROTTUM";107;22
"288";"ZOLLING";38;7
"289";"BARSSEL";83;6
"290";"BINSFELD";147;7
"291";"TREDELBURG";170;9
"292";"NONNWEILER";19;8
"293";"HESEL";83;4
"294";"RODEWALD";38;8
"295";"DINGOLSHAUSEN";12;11
"296";"COESFELD";147;7
"297";"HAMBURG";170;0
"298";"BOXDORF";86;5
"299";"ALLERSBERG";38;10
"300";"SPAICHINGEN";30;7
"301";"HÖHR-GRENZHAUSEN";12;14
"302";"MEISSNER";38;8
"303";"GARBSEN";161;6
"304";"CROTTENDORF";113;2
"305";"LANGEN";102;0
"306";"ACHSLACH";38;8
"307";"ALLENDORF (EDER)";113;13
"308";"BITBURG";170;6
"309";"SCHÖNKIRCHEN";81;8
"310";"WALDEMS";38;7
"311";"RULLSTORF";80;5
"312";"DURLANGEN";102;3
"313";"LEIMEN";38;6
"314";"HAMMAH";193;2
"315";"SCHAFFLUND";38;10
"316";"TROSTBERG";38;9
"317";"PETTING";38;7
"318";"SCHÖNWALDE";38;10
"319";"SIEK";38;4
"320";"SCHLÜSSELFELD";83;12
"321";"PANSCHWITZ";38;10
"322";"WARBERG";125;6
"323";"BERGLERN";143;7
"324";"FRIEDRICHSTHAL";96;8
"325";"LICHTENFELS";133;9
"326";"HALLBACH";38;8
"327";"ESSENBACH";190;6
"328";"NATTHEIM";106;7
"329";"KÖNIGSHAIN";9;8
"330";"EROLZHEIM";185;8
"331";"SANKT AUGUSTIN";38;14
"332";"POLKENBERG";20;0
"333";"MÖLLN";38;5
"334";"ANNAHÜTTE";75;0
"335";"RHEINBACH";187;7
"336";"NIEDERODERWITZ";200;12
"337";"MEISENHEIM";185;7
"338";"NUSSDORF";86;4
"339";"WILBURGSTETTEN";101;11
"340";"LICH";38;4
"341";"EVESSEN";38;7
"342";"WEIGMANNSDORF";61;0
"343";"ALTENSTADT";55;9
"344";"UNSEBURG";170;7
"345";"BAD LIEBENSTEIN";167;10
"346";"KRÖNING";38;7
"347";"SASSENBERG";76;6
"348";"RODEWISCH";38;9
"349";"SCHLEIZ";38;7
"350";"ALTENMARKT AN DER ALZ";38;21
"351";"ROSDORF";86;1
"352";"AUGUSTUSBURG";146;11
"353";"LANGENAU";102;2
"354";"BRETZENHEIM";148;7
"355";"LEUTENBACH";190;7
"356";"LAUFEN";38;6
"357";"JESBERG";38;7
"358";"ÖLBRONN-DÜRRN";31;12
"359";"ALTENWEDDINGEN";95;12
"360";"ILSFELD";147;6
"361";"GLOSSEN";31;6
"362";"GILLENFELD";147;7
"363";"PLEYSTEIN";32;8
"364";"GUNTERSBLUM";110;10
"365";"FRIESOYTHE";38;10
"366";"SIGMARSZELL";38;11
"367";"ELLHOFEN";45;6
"368";"MÖNSHEIM";185;7
"369";"ZEISKAM";38;7
"370";"SCHLÜCHTERN";143;10
"371";"PERLEBERG";38;9
"372";"MOOSTHENNING";38;12
"373";"LINDEWITT";140;5
"374";"ERDMANNSDORF";61;7
"375";"NEUSTADT";55;7
"376";"HINTERSCHMIDING";30;15
"377";"FULDA";38;5
"378";"BRETNIG";38;7
"379";"EGGEBEK";38;7
"380";"ASENDORF";113;5
"381";"NORTHEIM";72;7
"382";"SCHWANEWEDE";38;11
"383";"WESENBERG";76;5
"384";"WHEDERAU";186;7
"385";"ANDERNACH";143;8
"386";"OELSNITZ";118;6
"387";"KÖDITZ";38;6
"388";"WÜLFRATH";38;8
"389";"HÜTSCHENHAUSEN";107;9
"390";"GAILDORF";86;6
"391";"RINGSHEIM";185;8
"392";"GRATTERSDORF";136;6
"393";"DEUTSCHNEUDORF";86;12
"394";"TARMSTEDT";38;9
"395";"LANGEBRÜCK";102;6
"396";"NASSAU";38;6
"397";"MESSSTETTEN";101;8
"398";"HÖRNUM (SYLT)";78;0
"399";"HANSTEDT";33;7
"400";"OBERBOBRITZSCH";38;14
"401";"WALDBRUNN (WESTERWALD)";39;21
"402";"LANGENDORF";102;4
"403";"BERNBEUREN";63;8
"404";"UETTINGEN";95;7
"405";"OCHTRUP";38;7
"406";"EPPENBRUNN";39;9
"407";"HAIMHAUSEN";12;0
"408";"GROSSALMERODE";23;12
"409";"WARIN";125;4
"410";"ALLSTEDT";38;8
"411";"KEHL";38;4
"412";"DIETERSBURG";146;10
"413";"KONRADSREUTH";38;12
"414";"GRABEN";38;6
"415";"BÖRNICHEN";38;9
"416";"TREFFELSTEIN";32;11
"417";"HODENHAGEN";28;7
"418";"BORSTEL";38;7
"419";"HOLZKIRCHEN";81;9
"420";"KIRCHHAM";193;6
"421";"TRAUTSKIRCHEN";81;11
"422";"GERDAU";38;6
"423";"WEISSENTHURM";38;10
"424";"BLEICHERODE";38;11
"425";"PRONSTORF";80;5
"426";"UNTERWÖSSEN";110;10
"427";"SCHIERLING";186;9
"428";"LONSEE";31;5
"429";"GILSERBERG";198;7
"430";"SCHWANSTETTEN";101;10
"431";"WOLLBACH";38;8
"432";"LINDEN";140;0
"433";"BORNA";50;4
"434";"OBERNHEIM";185;6
"435";"SPARDORF";86;6
"436";"MECHERNICH";143;9
"437";"BUDENHEIM";185;6
"438";"GROSSBETTINGEN";95;12
"439";"ZIEMETSHAUSEN";90;10
"440";"WINNWEILER";19;8
"441";"KIRCHANSCHÖRING";33;14
"442";"ESSEN";38;5
"443";"WAAL";8;4
"444";"JUIST";38;5
"445";"WUNSIEDEL IM FICHTELGEBIRGE";179;24
"446";"WERTHER (WESTFALEN)";24;0
"447";"BRÖCKEL";38;7
"448";"TREBNITZ";38;8
"449";"HORNEBURG";135;6
"450";"ERDING";38;6
"451";"OLBERNHAU";143;8
"452";"BILLIGHEIM-INGENHEIM";185;17
"453";"NIDDATAL";38;8
"454";"REINHARDSHAGEN";28;13
"455";"BEIMERSTETTEN";101;8
"456";"BECKEDORF";86;7
"457";"SOTTRUM";7;0
"458";"RANTRUM";7;6
"459";"OSBURG";146;5
"460";"LEUTERSHAUSEN";174;7
"461";"ASSLAR";38;6
"462";"STARNBERG";63;5
"463";"ÖTISHEIM";185;7
"464";"TUSSENHAUSEN";107;7
"465";"SEIFERSDORF";86;7
"466";"IRSEE";38;5
"467";"WRIEDEL";179;0
"468";"NAUHEIM";33;6
"469";"NECKARZIMMERN";3;10
"470";"IMMENHAUSEN";107;6
"471";"GAUKÖNIGSHOFEN";9;12
"472";"ALTENAHR";38;8
"473";"HERSBRUCK";38;9
"474";"HEIDENROD";13;7
"475";"GROSS-BIEBERAU";23;13
"476";"NIEDERELBERT";179;11
"477";"PEGNITZ";38;7
"478";"FRIEDRICHSTADT";96;8
"479";"MONHEIM";185;0
"480";"SYKE";38;4
"481";"HATTINGEN";95;7
"482";"OBERHAID";38;8
"483";"GEVELSBERG";38;10
"484";"BOGEN";38;5
"485";"KIRRWEILER (PFALZ)";19;16
"486";"MAINLEUS";38;8
"487";"SEEBURG";170;6
"488";"OLDENDORF";113;6
"489";"WANKENDORF";17;0
"490";"NEUTREBBIN";38;10
"491";"PLETTENBERG";76;7
"492";"DISCHINGEN";30;0
"493";"DORMITZ";38;7
"494";"KIRCHHEIM AM RIES";162;0
"495";"OBERWESEL";83;8
"496";"REICHENBACH-STEEGEN";103;16
"497";"EBRINGEN";95;6
"498";"GRIESHEIM";185;8
"499";"WEILER-SIMMERBERG";132;0
"500";"MERDINGEN";95;7
"501";"BARDOWICK";38;9
"502";"LABOE";38;5
"503";"WORBIS";38;6
"504";"THANNHAUSEN";107;8
"505";"KOBLENZ";149;5
"506";"BURGSINN";170;7
"507";"NAGEL";38;5
"508";"ALTENKREMPE";38;11
"509";"ERXLEBEN";38;8
"510";"ERKRATH";38;7
"511";"OFTERSHEIM";185;9
"512";"KIRSCHAU";173;7
"513";"NIERSTEIN";32;8
"514";"SCHWÄBISCH HALL";38;15
"515";"NEUSTADT (WIED)";55;14
"516";"GOTTESZELL";38;10
"517";"SALDENBURG";164;8
"518";"BESIGHEIM";185;8
"519";"RHEINZABERN";68;0
"520";"SCHÖNAU AN DER BREND";33;19
"521";"LICHTENFELS";133;9
"522";"RATTISZELL";38;10
"523";"SELBITZ";83;6
"524";"KRAFTSDORF";86;6
"525";"LAUBUSCH";38;8
"526";"KREBA-NEUDORF";86;11
"527";"BORSTEL-HOHENRADEN";89;0
"528";"STÖRNSTEIN";120;8
"529";"EBERDINGEN";95;8
"530";"DUNUM";38;5
"531";"EITELBORN";50;6
"532";"MARIENMÜNSTER";145;10
"533";"BAD WURZACH";38;11
"534";"FELDAFING";44;0
"535";"POLLE";38;5
"536";"RÜGLAND";38;7
"537";"KAMPEN (SYLT)";58;11
"538";"MÖDINGEN";95;6
"539";"GESSERTSHAUSEN";159;0
"540";"HEESLINGEN";95;6
"541";"GAUERNITZ";143;6
"542";"SALZHAUSEN";12;8
"543";"HOCHDONN";31;7
"544";"LANGENZENN";102;4
"545";"NEUSCHOO";38;8
"546";"UNTERFÖHRING";110;11
"547";"STRASSBERG";111;0
"548";"NEUKAMPERFEHN";58;11
"549";"DEDELEBEN";179;8
"550";"STAPELFELD";147;9
"551";"SCHLIENGEN";123;6
"552";"LANDKIRCHEN AUF FEHMARN";81;21
"553";"MÜNSTERHAUSEN";145;10
"554";"ALTENBURG";170;8
"555";"LAMSPRINGE";127;5
"556";"KÖNIGSBRUNN";9;9
"557";"SCHILTBERG";38;10
"558";"MERZEN";38;6
"559";"MOGENDORF";113;6
"560";"TORNESCH";135;7
"561";"RÖLLBACH";38;8
"562";"KÖRNER";38;6
"563";"EISLEBEN";38;8
"564";"HEIDGRABEN";38;10
"565";"SEEBAD AHLBECK";38;14
"566";"SIMMERN";3;4
"567";"LEBUS";38;5
"568";"LAUINGEN (DONAU)";95;14
"569";"ELSTERBERG";198;7
"570";"CAPPELN (OLDENBURG)";10;11
"571";"OKRILLA";38;7
"572";"STOLBERG";38;8
"573";"UNTERREIT";110;0
"574";"WEIDENBACH";103;3
"575";"GEROLZHOFEN";45;9
"576";"PEINE";38;5
"577";"HARSEFELD";100;0
"578";"WEILERSBACH";19;9
"579";"BIRKENHEIDE";1;9
"580";"GÖTTINGEN";95;7
"581";"ZELLA-MEHLIS";38;12
"582";"PLÖN";38;4
"583";"REDWITZ AN DER RODACH";199;20
"584";"REICHENAU";33;8
"585";"OTTERFING";85;8
"586";"PARKSTETTEN";101;8
"587";"OBERASBACH";194;8
"588";"HÖCHSTADT AN DER AISCH";73;17
"589";"MINDEN";140;2
"590";"GREIZ";38;5
"591";"WAREN";125;0
"592";"KÜRTEN";72;5
"593";"BREY";38;4
"594";"KASEL";83;0
"595";"RÖTHENBACH AN DER PEGNITZ";199;18
"596";"GOTTMADINGEN";95;10
"597";"SAAL AN DER DONAU";199;8
"598";"POTSDAM";58;5
"599";"MÖGLINGEN";95;5
"600";"CREGLINGEN";95;6
"601";"FRIEDEBURG";179;7
"602";"MÜCKE";38;5
"603";"RHODT UNTER RIETBURG";110;19
"604";"MASSBACH";194;6
"605";"METZINGEN";95;7
"606";"MERZDORF";86;6
"607";"MÜNSTER";145;4
"608";"IMMENDINGEN";123;7
"609";"COPPENBRÜGGE";183;0
"610";"AMORBACH";36;8
"611";"ENSDORF";86;3
"612";"STULLN";38;6
"613";"BAD LIEBENZELL";167;9
"614";"OSTBEVERN";143;8
"615";"BRAND";38;5
"616";"SCHONACH IM SCHWARZWALD";125;22
"617";"SOMMERHAUSEN";3;9
"618";"BERG BEI NEUMARKT";38;17
"619";"MULFINGEN";95;7
"620";"NIEDERWÜRSCHNITZ";179;15
"621";"OSDORF";86;0
"622";"INCHENHOFEN";45;9
"623";"NECKARTENZLINGEN";95;12
"624";"BUSDORF";86;3
"625";"NORDSTEMMEN";38;11
"626";"GROSSKAROLINENFELD";147;15
"627";"HERINGEN (WERRA)";95;14
"628";"WÄSCHENBEUREN";47;11
"629";"BODELSHAUSEN";12;10
"630";"GUNDELSHEIM";185;10
"631";"OYBIN";38;5
"632";"EBERSDORF";86;5
"633";"GUNDELFINGEN";97;9
"634";"WILKAU-HASSLAU";105;0
"635";"HESSEN";38;6
"636";"ZIESAR";38;6
"637";"AUGUSTDORF";86;8
"638";"HATTENHOFEN";45;9
"639";"MUHR AM SEE";5;10
"640";"STAIG";38;5
"641";"GENGENBACH";123;6
"642";"KURORT HARTHA";128;0
"643";"NUFRINGEN";95;7
"644";"BOPFINGEN";95;7
"645";"ENGEN";123;1
"646";"OSNABRÜCK";38;9
"647";"LINDEN";140;0
"648";"STADELHOFEN";45;9
"649";"CELLE";38;5
"650";"BURKAU";38;6
"651";"DORNUM";135;5
"652";"GEROLSHEIM";185;9
"653";"UMKIRCH";69;6
"654";"WEINBÖHLA";38;9
"655";"MÖNCHSDEGGINGEN";95;13
"656";"NERCHAU";173;0
"657";"RÖFINGEN";95;6
"658";"MIESBACH";194;6
"659";"VLOTHO";38;6
"660";"PFATTER";38;7
"661";"WURMBERG";38;8
"662";"LYCHEN";38;6
"663";"WIEHE";38;5
"664";"HILPOLTSTEIN";32;11
"665";"DIEBURG";170;6
"666";"REMSHALDEN";164;8
"667";"KRONACH";38;7
"668";"SERSHEIM";185;7
"669";"LAUPHEIM";185;7
"670";"MARL";38;4
"671";"MÜHLINGEN";95;5
"672";"OHORN";135;0
"673";"MÖRLENBACH";190;7
"674";"WEIDEN IN DER OBERPFALZ";158;16
"675";"LEIBERTINGEN";66;9
"676";"FRAUNBERG";63;7
"677";"OBRIGHEIM";185;8
"678";"NIEHEIM";185;6
"679";"GÖRMIN";38;6
"680";"ROSSDORF";86;4
"681";"REHFELDE";164;6
"682";"WERTHEIM";72;7
"683";"VOLTLAGE";38;8
"684";"OLDENSWORT";164;8
"685";"LANGENLEUBA-NIEDERHAIN";102;16
"686";"SCHORNSHEIM";135;8
"687";"APPENWEIER";186;9
"688";"LUCKAU";38;6
"689";"FURTH";181;0
"690";"BEESTEN";38;7
"691";"BURGWALD";170;7
"692";"ROSSBACH";194;6
"693";"UNTERAMMERGAU";182;0
"694";"WEISKIRCHEN";81;9
"695";"PFOFELD";147;6
"696";"GANGELT";102;5
"697";"EMMERING";3;7
"698";"MELLENSEE";38;9
"699";"LECK";38;4
"700";"LINZ AM RHEIN";68;12
"701";"BRAUNFELS";147;8
"702";"LÜTJENSEE";54;8
"703";"JOSSGRUND";26;7
"704";"HAUNETAL";38;8
"705";"COLMBERG";38;8
"706";"WELSCHBILLIG";38;12
"707";"GROSS WOKERN";23;11
"708";"EBERSBACH-MUSBACH";194;15
"709";"REUTE";38;5
"710";"BOCKHORN";135;5
"711";"OBERMOSCHEL";47;9
"712";"MONZELFELD";147;9
"713";"MAULBRONN";31;8
"714";"BREITENBRUNN";39;11
"715";"WILTHEN";38;7
"716";"LANGENFELD (RHEINLAND)";102;16
"717";"LAUTENBACH";190;7
"718";"LEONBERG";63;6
"719";"VÖLPKE";38;6
"720";"RUPPERSDORF";86;7
"721";"TRIEFENSTEIN";156;0
"722";"WIDDERN";143;6
"723";"LEHMEN";38;6
"724";"BÖTZOW";38;6
"725";"BOCHUM";38;4
"726";"HÜRUP";38;5
"727";"DAUSENAU";33;7
"728";"SCHWEINA";38;8
"729";"ASPERG";38;6
"730";"MONSCHAU";173;7
"731";"BOTTENDORF";113;1
"732";"CRIVITZ";38;7
"733";"EBERSBACH AN DER FILS";199;14
"734";"KIRKEL";38;6
"735";"WONNEBERG";31;8
"736";"BÜCKEN";38;6
"737";"DORNUMERSIEL";135;11
"738";"QUICKBORN";50;8
"739";"ROSENDAHL";38;9
"740";"UEHRDE";38;6
"741";"GROSS-ROHRHEIM";37;10
"742";"ZENTING";38;7
"743";"NAGOLD";169;0
"744";"HASSELROTH";83;9
"745";"STEINHEIM AN DER MURR";185;18
"746";"WANGEROGGE";102;8
"747";"AURACH";38;6
"748";"HERMESKEIL";38;10
"749";"RÜDERSHAUSEN";174;0
"750";"PENZLIN";38;7
"751";"LEMWERDER";38;9
"752";"AHRENSHAGEN";125;10
"753";"KIRCHHEIM";69;8
"754";"RHEINBROHL";37;10
"755";"BÖRNSEN";38;7
"756";"ÖSTRINGEN";95;7
"757";"HALDENSLEBEN";164;10
"758";"RÖTTENBACH";190;7
"759";"SANGERHAUSEN";12;10
"760";"DORNDORF";114;0
"761";"KÖNIGSTEIN";9;0
"762";"SCHÖNAU";33;6
"763";"WETTRINGEN";95;8
"764";"ASCHERSLEBEN";47;10
"765";"BERNHARDSWALD";168;0
"766";"HEINERSREUTH";38;12
"767";"SCHOBÜLL";38;8
"768";"RÜSSELSHEIM";83;10
"769";"GLATTBACH";38;9
"770";"MÜHLHAUSEN";12;8
"771";"BAD REICHENHALL";42;14
"772";"KÖNIGSBACH-STEIN";9;8
"773";"SCHÖNECK";38;8
"774";"WEDEL (HOLSTEIN)";32;15
"775";"ELZ";38;3
"776";"NEUMARK";38;7
"777";"EGGINGEN";95;6
"778";"LEHNIN";38;6
"779";"RIEDERICH";179;6
"780";"MERING";38;6
"781";"FRÖNDENBERG";76;7
"782";"NEUNKIRCHEN AM BRAND";81;14
"783";"RATHENOW";38;8
"784";"LONNERSTADT";31;8
"785";"SCHÖNHEIDE";192;0
"786";"STADTOLDENDORF";113;11
"787";"ZWENKAU";38;7
"788";"FRIEDERSDORF";86;8
"789";"SCHWABACH";38;9
"790";"STEINAU";32;6
"791";"SILBERSTEDT";74;7
"792";"WILMSHEIM";185;8
"793";"GREIFSWALD";27;0
"794";"OELDE";164;3
"795";"NEUKIRCH";69;7
"796";"WEISWEIL";19;8
"797";"RIED";179;3
"798";"TORGAU";38;6
"799";"DÜRRLAUINGEN";95;10
"800";"REICHENBACH";103;8
"801";"ROTTENBUCH";117;8
"802";"KÖNIGSTEIN IM TAUNUS";9;10
"803";"JETZENDORF";148;6
"804";"BAD SCHMIEDEBERG";179;15
"805";"RÖTHENBACH (ALLGÄU)";190;16
"806";"BELUM";38;5
"807";"ALLENSBACH";194;8
"808";"VIESELBACH";83;9
"809";"KALTENTAL";71;8
